rating,genre,year,score,votes,continent,runtime,gross
R,Horror,1982,5.6,3700,North America,98,7742572
PG,Comedy,1982,7.2,4200,North America,109,840958
R,Action,1982,6.4,3000,Europe,125,2666873
PG,Comedy,1982,5,9800,Europe,96,9056073
R,Drama,1982,6,1800,Europe,91,1054328
R,Horror,1982,6.4,6100,North America,108,6118683
PG,Comedy,1982,6,1900,North America,101,15782759
PG,Comedy,1982,6.6,19000,North America,88,9077269
R,Action,1982,6.5,2000,Europe,97,13253583
PG,Comedy,1982,5.5,2700,North America,116,36821203
R,Drama,1982,6.9,2500,North America,124,9217530
R,Comedy,1982,5.1,684,North America,105,946461
PG,etc,1982,6.4,1500,North America,90,1736123
R,Horror,1982,5.7,3800,North America,103,13258670
R,Comedy,1982,4.9,501,North America,95,2370376
R,Comedy,1982,4.7,2000,North America,84,10054150
PG,Action,1982,5.6,2400,North America,110,9823934
PG,Comedy,1982,6.2,5100,North America,110,13111101
R,Drama,1982,6.5,768,North America,110,263635
R,Action,1982,6.3,2000,North America,108,2977706
R,Action,1982,5.3,1100,North America,96,6328816
R,Comedy,1982,5.7,1800,North America,117,3583513
PG,Drama,1982,5.7,818,North America,107,6668025
Not Rated,Drama,1982,7,3000,Europe,121,3700
R,Fantasy,1982,6.2,1100,North America,87,3792188
R,Action,1982,5.6,2900,North America,90,6660333
R,Comedy,1982,6.2,2100,Europe,90,7241180
PG,Comedy,1982,6.2,683,North America,94,143369
PG,Drama,1982,6.5,1300,Europe,107,8000000
R,Drama,1982,5.9,914,North America,97,1474249
R,Action,1982,6,3100,North America,90,21134374
R,Comedy,1982,3.5,322,North America,90,2914328
R,Comedy,1982,4.7,984,North America,103,2869638
Not Rated,Biography,1982,7.4,4100,Europe,112,3723036
PG,Action,1982,5.7,1500,North America,87,16894678
R,Comedy,1982,5.8,1400,North America,97,23671186
PG,Horror,1982,6.5,3000,North America,97,42914
PG,Drama,1982,6.1,1000,North America,108,199078
R,Horror,1982,4.4,538,North America,108,3178542
PG,Biography,1982,6.8,785,North America,103,8693512
R,Comedy,1982,5.3,1200,North America,93,6062898
R,Comedy,1982,7.7,3900,North America,82,36299720
G,Animation,1982,7.1,1800,North America,74,78350
R,Horror,1982,5.1,838,North America,121,12408066
PG,Comedy,1982,3.9,653,North America,110,2279543
